iter	Passed	Remaining
880	73424	9917
881	73545	9839
882	73676	9762
883	73761	9679
884	73829	9593
885	73886	9506
886	73941	9419
887	74003	9333
888	74057	9246
889	74099	9158
890	74147	9070
891	74200	8983
892	74261	8898
893	74308	8810
894	74355	8723
895	74403	8636
896	74451	8549
897	74519	8464
898	74571	8377
899	74619	8291
900	74671	8204
901	74747	8121
902	74796	8034
903	74852	7948
904	74909	7863
905	74954	7776
906	75007	7691
907	75071	7606
908	75131	7521
909	75193	7436
910	75315	7357
911	75415	7276
912	75493	7193
913	75564	7110
914	75654	7028
915	75732	6944
916	75791	6860
917	75873	6777
918	75975	6696
919	76037	6611
920	76220	6537
921	76315	6456
922	76414	6374
923	76485	6291
924	76569	6208
925	76692	6128
926	76868	6053
927	77076	5980
928	77281	5906
929	77422	5827
930	77517	5745
931	77640	5664
932	77721	5581
933	77802	5497
934	77900	5415
935	78008	5333
936	78107	5251
937	78192	5168
938	78281	5085
939	78359	5001
940	78467	4919
941	78546	4836
942	78630	4752
943	78726	4670
944	78829	4587
945	78938	4506
946	79151	4429
947	79237	4346
948	79418	4268
949	79621	4190
950	79725	4107
951	79810	4024
952	79888	3939
953	79965	3855
954	80072	3773
955	80192	3690
956	80274	3606
957	80349	3522
958	80423	3438
959	80522	3355
960	80599	3270
961	80695	3187
962	80793	3104
963	80880	3020
964	80970	2936
965	81089	2854
966	81195	2770
967	81328	2688
968	81454	2605
969	81542	2521
970	81663	2438
971	81736	2354
972	81804	2270
973	81864	2185
974	81934	2100
975	82044	2017
976	82149	1933
977	82247	1850
978	82355	1766
979	82533	1684
980	82704	1601
981	82973	1520
982	83075	1436
983	83277	1354
984	83402	1270
985	83536	1186
986	83724	1102
987	83848	1018
988	83924	933
989	83989	848
990	84051	763
991	84147	678
992	84210	593
993	84265	508
994	84312	423
995	84355	338
996	84423	254
997	84492	169
998	84543	84
999	84592	0
